"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","O","N.Name.Nom.Sg.*","NP","O",NA,"O",0,NA,"O",NA,NA,NA,"O",1
"3",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",1
"4","F","N.Reg.Nom.Sg.Neut","SYM","F",NA,"F",0,NA,"F",NA,NA,NA,"F",1
"5","6NN6","CARD","JJ","6NN6",NA,"6NN6",1,"6NN6",NA,NA,NA,NA,NA,1
"6","X","SYM.Other.XY","NN","X",NA,"X",0,NA,"X",NA,NA,NA,"X",1
"7","A","SYM.Other.XY","DT","A",NA,"A",0,NA,"A",NA,NA,NA,"A",1
"8","Eg0e","N.Name.Nom.Sg.Neut","JJ","Eg0e",NA,"Eg0e",1,"Eg0e",NA,NA,NA,NA,NA,1
"9","1","CARD","CD","1",NA,"1",0,NA,"1",NA,NA,NA,"1",1
"10","825","CARD","CD","825",NA,"825",1,"825",NA,NA,NA,NA,NA,1
"11","*","SYM.Other.Aster","SYM","*",NA,"*",0,NA,"*",NA,NA,NA,"*",1
"12","Ka2","N.Name.*.*.*","NP","Ka2",NA,"Ka2",1,"Ka2",NA,NA,NA,NA,NA,1
"13","k","N.Name.Dat.Sg.Neut","NN","k",NA,"k",0,NA,"k",NA,NA,NA,"k",1
"14",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",1
"15","—","N.Name.*.*.*",":","—",NA,"—",1,"—",NA,NA,NA,NA,NA,1
"16","△","N.Name.*.*.*","NP","△",NA,"△",1,"△",NA,NA,NA,NA,NA,1
"17","COMPLETE","N.Name.*.*.*","JJ","COMPLETE",NA,"COMPLETE",0,NA,"COMPLETE",NA,NA,NA,"COMPLETE",1
"18","ENetIsI","N.Name.*.*.*","NP","ENetIsI",NA,"ENetIsI",1,"ENetIsI",NA,NA,NA,NA,NA,1
"19","Grammar","N.Name.Nom.Sg.*","NN","Grammar",NA,"Grammar",0,NA,"Grammar",NA,NA,NA,"Grammar",1
"20",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",1
"21","61","CARD","CD","61",NA,"61",1,"61",NA,NA,NA,NA,NA,1
"22","MANRNSSRMRRR","N.Reg.Nom.*.*","NP","MANRNSSRMRRR",NA,"MANRNSSRMRRR",1,"MANRNSSRMRRR",NA,NA,NA,NA,NA,1
"23","—","N.Name.*.*.*",":","—",NA,"—",1,"—",NA,NA,NA,NA,NA,1
"24","4","CARD","CD","4",NA,"4",0,NA,"4",NA,NA,NA,"4",1
"25","pir","N.Name.*.*.*","NN","pir",NA,"pir",0,NA,"pir",NA,NA,NA,"pir",1
"26","CHAP","N.Name.Nom.Sg.*","NN","CHAP",NA,"CHAP",0,NA,"CHAP",NA,NA,NA,"CHAP",1
"27",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",1
"28","I","CARD","PP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",1
"29",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",1
"30","Of","N.Name.*.*.*","IN","Of","Of","Of",0,NA,"Of",NA,NA,NA,"Of",1
"31","PRONUNCIATION","N.Name.Nom.Sg.Neut","NN","PRONUNCIATION",NA,"PRONUNCIATION",0,NA,"PRONUNCIATION",NA,NA,NA,"PRONUNCIATION",1
"32",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",1
"33","KRZRONUNCIATIONis","N.Name.*.*.*","NP","KRZRONUNCIATIONis",NA,"KRZRONUNCIATIONis",1,"KRZRONUNCIATIONis",NA,NA,NA,NA,NA,1
"34","a","N.Name.*.*.*","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",1
"35","truc","N.Name.*.*.*","NN","truc",NA,"truc",1,"truc",NA,NA,NA,NA,NA,1
"36","and","N.Name.*.*.*","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",1
"37","MN","N.Name.*.*.*","JJ","MN",NA,"MN",1,"MN",NA,NA,NA,NA,NA,1
"38","kN","N.Name.*.*.*","NN","kN",NA,"kN",1,"kN",NA,NA,NA,NA,NA,1
"39","*","SYM.Other.Aster","SYM","*",NA,"*",0,NA,"*",NA,NA,NA,"*",1
"40","*","SYM.Other.Aster","SYM","*",NA,"*",0,NA,"*",NA,NA,NA,"*",1
"41","*","SYM.Other.Aster","SYM","*",NA,"*",0,NA,"*",NA,NA,NA,"*",1
"42","X","SYM.Other.XY","CD","X",NA,"X",0,NA,"X",NA,NA,NA,"X",1
"43","natural","FM","JJ","natural",NA,"natural",0,NA,"natural",NA,NA,NA,"natural",1
"44","Manner","N.Reg.Nom.Pl.Masc","NP","Manner",NA,"Manner",0,NA,"Manner",NA,NA,NA,"Manner",1
"45","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",1
"46","exprefling","FM","VVG","exprefling","exprefling","exprefling",1,"exprefling",NA,NA,NA,NA,NA,1
"47","Syllables","FM","NNS","Syllables",NA,"Syllables",0,NA,"Syllables",NA,NA,NA,"Syllables",1
"48","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",1
"49","Words","FM","NNS","Words",NA,"Words",0,NA,"Words",NA,NA,NA,"Words",1
"50","in","FM","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",1
"51","any","FM","DT","any",NA,"any",0,NA,"any",NA,NA,NA,"any",1
"52","Language","FM","NP","Language",NA,"Language",0,NA,"Language",NA,NA,NA,"Language",1
"53",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"54","according","FM","VVG","according",NA,"according",0,NA,"according",NA,NA,NA,"according",1
"55","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",1
"56","its","FM","PP$","its",NA,"its",0,NA,"its",NA,NA,NA,"its",1
"57","Genius","N.Reg.Nom.Sg.Masc","NN","Genius",NA,"Genius",0,NA,"Genius",NA,NA,NA,"Genius",1
"58",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"59","either","N.Name.*.*.*","CC","either",NA,"either",0,NA,"either",NA,NA,NA,"either",1
"60","with","N.Name.*.*.*","IN","with",NA,"with",0,NA,"with",NA,NA,NA,"with",1
"61","k","N.Name.Nom.Sg.Neut","NN","k",NA,"k",0,NA,"k",NA,NA,NA,"k",1
"62","MMM","CARD","NP","MMM",NA,"MMM",1,"MMM",NA,NA,NA,NA,NA,1
"63","Regard","FM","NN","Regard",NA,"Regard",0,NA,"Regard",NA,NA,NA,"Regard",1
"64","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",1
"65","QUANTITY","N.Name.Nom.Sg.Neut","NN","QUANTITY",NA,"QUANTITY",0,NA,"QUANTITY",NA,NA,NA,"QUANTITY",1
"66",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"67","TONE","N.Name.Nom.Sg.Neut","NN","TONE",NA,"TONE",0,NA,"TONE",NA,NA,NA,"TONE",1
"68",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"69","Or","N.Name.Nom.Sg.Masc","CC","Or",NA,"Or",0,NA,"Or",NA,NA,NA,"Or",1
"70","AccEN","N.Name.Nom.Sg.Masc","NP","AccEN",NA,"AccEN",1,"AccEN",NA,NA,NA,NA,NA,1
"71",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"72","which","VFIN.Full.3.Sg.Past.Ind","WDT","which",NA,"which",0,NA,"which",NA,NA,NA,"which",1
"73","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",1
"74","Engliſb","FM","NN","Englisb",NA,"Englisb",1,"Englisb",NA,NA,NA,NA,NA,1
"75","may","FM","MD","may",NA,"may",0,NA,"may",NA,NA,NA,"may",1
"76","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",1
"77","divided","FM","VVN","divided",NA,"divided",0,NA,"divided",NA,NA,NA,"divided",1
"78","into","N.Name.*.*.*","IN","into",NA,"into",0,NA,"into",NA,NA,NA,"into",1
"79","four","FM","CD","four","four","four",0,NA,"four",NA,NA,NA,"four",1
"80","manner","FM","NN","manner",NA,"manner",0,NA,"manner",NA,NA,NA,"manner",1
"81","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",1
"82","Sounds","N.Reg.Nom.Pl.Masc","NNS","Sounds",NA,"Sounds",0,NA,"Sounds",NA,NA,NA,"Sounds",1
"83",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"84","viz","FM","FW","viz",NA,"viz",0,NA,"viz",NA,NA,NA,"viz",1
"85",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",1
"86","Lönc","FM","NP","Lönc",NA,"Lönc",1,"Lönc",NA,NA,NA,NA,NA,1
"87",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"88","Shon'r","FM","NP","Shon'r",NA,"Shon'r",1,"Shon'r",NA,NA,NA,NA,NA,1
"89",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"90","Lrovin","FM","NP","Lrovin",NA,"Lrovin",1,"Lrovin",NA,NA,NA,NA,NA,1
"91",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"92","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",1
"93","PEcuLian","FM","NP","PEcuLian",NA,"PEcuLian",1,"PEcuLian",NA,NA,NA,NA,NA,1
"94",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"95","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",1
"96","fhall","FM","NN","fhall","fhall","fhall",1,"fhall",NA,NA,NA,NA,NA,1
"97","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",1
"98","lhewn","FM","VVN","lhewn",NA,"lhewn",1,"lhewn",NA,NA,NA,NA,NA,1
"99","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",1
"100","diſtinct","N.Name.*.*.*","JJ","distinct",NA,"distinct",0,NA,"distinct",NA,NA,NA,"distinct",1
"101","Chapters","N.Name.*.*.*","NNS","Chapters",NA,"Chapters",1,"Chapters",NA,NA,"Chapters",NA,"Chapters",1
"102",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",1
"103","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",1
"104","which","ADJD.Pos","WDT","which",NA,"which",0,NA,"which",NA,NA,NA,"which",1
"105","I","FM","PP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",1
"106","refer","FM","VVP","refer","refer","refer",0,NA,"refer",NA,NA,NA,"refer",1
"107","as","ADV","RB","as",NA,"as",0,NA,"as",NA,NA,NA,"as",1
"108","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",1
"109","cheir","FM","NN","cheir",NA,"cheir",1,"cheir",NA,NA,NA,NA,NA,1
"110","proper","ADJD.Pos","JJ","proper",NA,"proper",0,NA,"proper",NA,NA,NA,"proper",1
"111","Elaces","FM","NP","Elaces",NA,"Elaces",1,"Elaces",NA,NA,NA,NA,NA,1
"112",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",1
"113","B","SYM.Other.XY","NP","B",NA,"B",0,NA,"B",NA,NA,NA,"B",1
"114","Letters","FM","NP","Letters",NA,"Letters",0,NA,"Letters",NA,NA,NA,"Letters",1
"115","A","N.Name.*.*.*","DT","A",NA,"A",0,NA,"A",NA,NA,NA,"A",2
"116","Complete","N.Reg.Nom.Sg.Masc","JJ","Complete",NA,"Complete",0,NA,"Complete",NA,NA,NA,"Complete",2
"117","ENGIISH","N.Name.Nom.Sg.Masc","NP","ENGIISH",NA,"ENGIISH",1,"ENGIISH",NA,NA,NA,NA,NA,2
"118","GRANNAk","N.Name.Nom.Sg.Masc","NP","GRANNAk",NA,"GRANNAk",1,"GRANNAk",NA,NA,NA,NA,NA,2
"119",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",2
"120","2","CARD","CD","2",NA,"2",0,NA,"2",NA,NA,NA,"2",2
"121","4","CARD","CD","4",NA,"4",0,NA,"4",NA,NA,NA,"4",2
"122","Letters","FM","NP","Letters",NA,"Letters",0,NA,"Letters",NA,NA,NA,"Letters",2
"123","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",2
"124","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",2
"125","Alphaber","N.Reg.Nom.Sg.Masc","NP","Alphaber",NA,"Alphaber",1,"Alphaber",NA,NA,NA,NA,NA,2
"126",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",2
"127","ſhewing","N.Reg.Nom.Sg.Fem","VVG","shewing",NA,"shewing",1,"shewing",NA,NA,NA,NA,NA,2
"128","their","FM","PP$","their",NA,"their",0,NA,"their",NA,NA,NA,"their",2
"129","Pronunciation","FM","NN","Pronunciation",NA,"Pronunciation",0,NA,"Pronunciation",NA,NA,NA,"Pronunciation",2
"130","at","FM","IN","at",NA,"at",0,NA,"at",NA,NA,NA,"at",2
"131","one","FM","CD","one",NA,"one",0,NA,"one",NA,NA,NA,"one",2
"132","View","FM","NP","View",NA,"View",0,NA,"View",NA,NA,NA,"View",2
"133",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",2
"134",")","SYM.Paren.Right",")",")",NA,")",1,")",NA,NA,NA,NA,NA,2
"135",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",2
"136","The","N.Name.*.*.*","DT","The",NA,"The",0,NA,"The",NA,NA,NA,"The",2
"137","Engliſb","N.Name.*.*.*","NN","Englisb",NA,"Englisb",1,"Englisb",NA,NA,NA,NA,NA,2
"138","Aphabet","N.Name.Nom.Sg.*","NN","Aphabet",NA,"Aphabet",1,"Aphabet",NA,NA,NA,NA,NA,2
"139","conſſſts","FM","NNS","consssts",NA,"consssts",1,"consssts",NA,NA,"consssts",NA,"consssts",2
"140","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",2
"141","twenty","FM","CD","twenty",NA,"twenty",0,NA,"twenty",NA,NA,NA,"twenty",2
"142","-","SYM.Pun.Hyph","NN","-",NA,"-",1,"-",NA,NA,NA,"-","-",2
"143","ſir","FM","NN","sir",NA,"sir",0,NA,"sir",NA,NA,NA,"sir",2
"144","Letters","FM","NP","Letters",NA,"Letters",0,NA,"Letters",NA,NA,NA,"Letters",2
"145",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",2
"146","Capital","FM","NN","Capital",NA,"Capital",0,NA,"Capital",NA,NA,NA,"Capital",2
"147","]","SYM.Paren.Right","SYM","]",NA,"]",1,"]",NA,NA,NA,NA,NA,2
"148","Small","N.Name.*.*.*","NP","Small",NA,"Small",0,NA,"Small",NA,NA,NA,"Small",2
"149","[","SYM.Paren.Left","SYM","[",NA,"[",1,"[",NA,NA,NA,NA,NA,2
"150","Eñg.Wordsj","N.Name.*.*.*","NP","Eñg.Wordsj",NA,"Eñg.Wordsj",1,"Eñg.Wordsj",NA,NA,NA,NA,NA,2
"151","Foreign","N.Name.*.*.*","NP","Foreign",NA,"Foreign",0,NA,"Foreign",NA,NA,NA,"Foreign",2
"152","Sounds","N.Reg.Nom.Pl.Masc","VVZ","Sounds",NA,"Sounds",0,NA,"Sounds",NA,NA,NA,"Sounds",2
"153","correſponding","ADJD.Pos","NN","corresponding",NA,"corresponding",0,NA,"corresponding",NA,NA,NA,"corresponding",2
"154",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",2
"155","H","SYM.Other.XY","NP","H",NA,"H",0,NA,"H",NA,NA,NA,"H",2
"156","1","CARD","CD","1",NA,"1",0,NA,"1",NA,NA,NA,"1",2
"157","1","CARD","CD","1",NA,"1",0,NA,"1",NA,NA,NA,"1",2
"158","2","CARD","CD","2",NA,"2",0,NA,"2",NA,NA,NA,"2",2
"159","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",2
"160","bee","FM","NN","bee",NA,"bee",0,NA,"bee",NA,NA,NA,"bee",2
"161","fee","FM","NN","fee","fee","fee",0,NA,"fee",NA,NA,NA,"fee",2
"162","dee","FM","NN","dee",NA,"dee",0,NA,"dee",NA,NA,NA,"dee",2
"163","eff","FM","VVP","eff","eff","eff",0,NA,"eff",NA,NA,NA,"eff",2
"164","⸗","FM","JJ","⸗",NA,"⸗",1,"⸗",NA,NA,NA,NA,NA,2
"165","jee","FM","NN","jee",NA,"jee",0,NA,"jee",NA,NA,NA,"jee",2
"166","aich","VFIN.Full.3.Sg.Past.Ind","NN","aich",NA,"aich",1,"aich",NA,NA,NA,NA,NA,2
"167","eye","FM","NN","eye",NA,"eye",0,NA,"eye",NA,NA,NA,"eye",2
"168","kItiIIt","ADJD.Pos","NN","kItiIIt",NA,"kItiIIt",1,"kItiIIt",NA,NA,NA,NA,NA,2
"169",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",2
"170","1","CARD","CD","1",NA,"1",0,NA,"1",NA,NA,NA,"1",2
"171","M","SYM.Other.XY","NP","M",NA,"M",0,NA,"M",NA,NA,NA,"M",2
"172","V","CARD","CD","V",NA,"V",0,NA,"V",NA,NA,NA,"V",2
"173","X","SYM.Other.XY","NP","X",NA,"X",0,NA,"X",NA,NA,NA,"X",2
"174","m","N.Reg.*.*.Masc","NN","m",NA,"m",0,NA,"m",NA,NA,NA,"m",2
"175","n","SYM.Other.XY","NN","n",NA,"n",0,NA,"n",NA,NA,NA,"n",2
"176","5","CARD","CD","5",NA,"5",1,"5",NA,NA,NA,NA,NA,2
"177","W","SYM.Other.XY","NP","W",NA,"W",0,NA,"W",NA,NA,NA,"W",2
"178","✕","CARD","NN","✕",NA,"✕",1,"✕",NA,NA,NA,NA,NA,2
"179","„","FM","NN","„",NA,"„",1,"„",NA,NA,NA,NA,NA,2
"180","ell","FM","NN","ell",NA,"ell",0,NA,"ell",NA,NA,NA,"ell",2
"181","em","SYM.Other.Auth","NN","em",NA,"em",0,NA,"em",NA,NA,NA,"em",2
"182","en","FM","IN","en",NA,"en",0,NA,"en",NA,NA,NA,"en",2
"183","owe","FM","VV","owe",NA,"owe",0,NA,"owe",NA,NA,NA,"owe",2
"184","pee","FM","NN","pee",NA,"pee",0,NA,"pee",NA,NA,NA,"pee",2
"185","cue","FM","NN","cue",NA,"cue",0,NA,"cue",NA,NA,NA,"cue",2
"186","ar","FM","NN","ar",NA,"ar",0,NA,"ar",NA,NA,NA,"ar",2
"187","eſs","FM","NNS","ess",NA,"ess",0,NA,"ess",NA,NA,NA,"ess",2
"188","tea","FM","NN","tea",NA,"tea",0,NA,"tea",NA,NA,NA,"tea",2
"189","you","FM","PP","you",NA,"you",0,NA,"you",NA,NA,NA,"you",2
"190","vee","FM","NP","vee",NA,"vee",0,NA,"vee",NA,NA,NA,"vee",2
"191","Span","N.Reg.Nom.Sg.Masc","NP","Span",NA,"Span",0,NA,"Span",NA,NA,NA,"Span",2
"192",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",2
"193","&","CONJ.Coord.-","CC","&",NA,"&",0,NA,"&",NA,NA,NA,"&",2
"194","Port","N.Name.*.*.*","NP","Port",NA,"Port",0,NA,"Port",NA,NA,NA,"Port",2
"195",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",2
"196","]","SYM.Paren.Right","SYM","]",NA,"]",1,"]",NA,NA,NA,NA,NA,2
"197","French","N.Name.Nom.Sg.Masc","NP","French",NA,"French",0,NA,"French",NA,NA,NA,"French",2
"198",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",2
"199","]","SYM.Paren.Right","SYM","]",NA,"]",1,"]",NA,NA,NA,NA,NA,2
"200","Italian","N.Name.*.*.*","JJ","Italian",NA,"Italian",0,NA,"Italian",NA,NA,NA,"Italian",2
"201",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",2
"202","bi","N.Name.*.*.*","NP","bi",NA,"bi",0,NA,"bi",NA,NA,NA,"bi",2
"203","ſi","N.Name.*.*.*","NP","si",NA,"si",0,NA,"si",NA,NA,NA,"si",2
"204","di","N.Name.*.*.*","NP","di",NA,"di",0,NA,"di",NA,NA,NA,"di",2
"205","ef","N.Name.*.*.*","VVZ","ef","ef","ef",0,NA,"ef",NA,NA,NA,"ef",2
"206","26i","N.Name.*.*.*","JJ","26i",NA,"26i",1,"26i",NA,NA,NA,NA,NA,2
"207","ech","N.Name.*.*.*","NN","ech",NA,"ech",1,"ech",NA,NA,NA,NA,NA,2
"208","ei","CARD","NNS","ei",NA,"ei",1,"ei",NA,NA,"ei",NA,"ei",2
"209","ai","N.Name.Nom.Sg.*","VVP","ai",NA,"ai",0,NA,"ai",NA,NA,NA,"ai",2
"210","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA,NA,"or",2
"211","é","FM","NP","é",NA,"é",0,NA,"é",NA,NA,NA,"é",2
"212","e","FM","NP","e",NA,"e",0,NA,"e",NA,NA,NA,"e",2
"213","el","FM","NN","el",NA,"el",0,NA,"el",NA,NA,NA,"el",2
"214","em","SYM.Other.Auth","NN","em",NA,"em",0,NA,"em",NA,NA,NA,"em",2
"215","en","FM","IN","en",NA,"en",0,NA,"en",NA,NA,NA,"en",2
"216","0","CARD","CD","0",NA,"0",0,NA,"0",NA,NA,NA,"0",2
"217","pi","FM","NN","pi",NA,"pi",0,NA,"pi",NA,NA,NA,"pi",2
"218","⸗","FM","NN","⸗",NA,"⸗",1,"⸗",NA,NA,NA,NA,NA,2
"219","quiu","FM","NN","quiu",NA,"quiu",1,"quiu",NA,NA,NA,NA,NA,2
"220",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",2
"221","er","FM","NN","er",NA,"er",0,NA,"er",NA,NA,NA,"er",2
"222","eſs","FM","NNS","ess",NA,"ess",0,NA,"ess",NA,NA,NA,"ess",2
"223","6i","FM","JJ","6i",NA,"6i",1,"6i",NA,NA,NA,NA,NA,2
"224","yu","FM","NP","yu",NA,"yu",0,NA,"yu",NA,NA,NA,"yu",2
"225","vi","FM","NP","vi",NA,"vi",1,"vi",NA,NA,NA,NA,NA,2
"226","bi","FM","NP","bi",NA,"bi",0,NA,"bi",NA,NA,NA,"bi",2
"227","ci","FM","NP","ci",NA,"ci",1,"ci",NA,NA,NA,NA,NA,2
"228","di","FM","NP","di",NA,"di",0,NA,"di",NA,NA,NA,"di",2
"229","i","PRO.Pers.Subst.1.Nom.Sg.*","NP","i",NA,"i",0,NA,"i",NA,NA,NA,"i",2
"230","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA,NA,"or",2
"231","y","N.Name.*.*.*","NP","y",NA,"y",0,NA,"y",NA,NA,NA,"y",2
"232","eff","N.Name.*.*.*","VVP","eff","eff","eff",0,NA,"eff",NA,NA,NA,"eff",2
"233","d","N.Name.*.*.*","NN","d",NA,"d",0,NA,"d",NA,NA,NA,"d",2
"234","aitch","FM","NN","aitch",NA,"aitch",0,NA,"aitch",NA,NA,NA,"aitch",2
"235","3i","FM","NP","3i",NA,"3i",1,"3i",NA,NA,NA,NA,NA,2
"236","djai","FM","NP","djai",NA,"djai",1,"djai",NA,NA,NA,NA,NA,2
"237","quai","FM","NP","quai",NA,"quai",0,NA,"quai",NA,NA,NA,"quai",2
"238","ell","FM","NN","ell",NA,"ell",0,NA,"ell",NA,NA,NA,"ell",2
"239","emm","FM","NP","emm",NA,"emm",1,"emm",NA,NA,NA,NA,NA,2
"240","enn","FM","NP","enn",NA,"enn",1,"enn",NA,NA,NA,NA,NA,2
"241","o","FM","NN","o",NA,"o",0,NA,"o",NA,NA,NA,"o",2
"242","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA,NA,"or",2
"243","au","N.Name.*.*.*","FW","au",NA,"au",0,NA,"au",NA,NA,NA,"au",2
"244","pi","FM","NN","pi",NA,"pi",0,NA,"pi",NA,NA,NA,"pi",2
"245","quiou","FM","NN","quiou",NA,"quiou",1,"quiou",NA,NA,NA,NA,NA,2
"246","err","FM","VVP","err",NA,"err",0,NA,"err",NA,NA,NA,"err",2
"247","eſs","FM","JJ","ess",NA,"ess",0,NA,"ess",NA,NA,NA,"ess",2
"248","ti","PRO.Pers.Subst.2.Acc.Sg.*","NN","ti",NA,"ti",0,NA,"ti",NA,NA,NA,"ti",2
"249","jou","N.Name.*.*.*","NN","jou",NA,"jou",1,"jou",NA,NA,NA,NA,NA,2
"250","vi","N.Name.*.*.*","NP","vi",NA,"vi",1,"vi",NA,NA,NA,NA,NA,2
"251","8","CARD","CD","8",NA,"8",1,"8",NA,NA,NA,NA,NA,2
"252","bi","N.Name.*.*.*","NP","bi",NA,"bi",0,NA,"bi",NA,NA,NA,"bi",2
"253","K","N.Name.*.*.*","NP","K",NA,"K",0,NA,"K",NA,NA,NA,"K",2
"254","di","N.Name.*.*.*","NP","di",NA,"di",0,NA,"di",NA,NA,NA,"di",2
"255","ef","N.Reg.Nom.Sg.Masc","NNS","ef","ef","ef",0,NA,"ef",NA,NA,NA,"ef",2
"256","8","CARD","CD","8",NA,"8",1,"8",NA,NA,NA,NA,NA,2
"257",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",2
"258","ei","CARD","NP","ei",NA,"ei",1,"ei",NA,NA,NA,NA,NA,2
"259","che","FM","NN","che",NA,"che",1,"che",NA,NA,NA,NA,NA,2
"260","el","FM","NN","el",NA,"el",0,NA,"el",NA,NA,NA,"el",2
"261","em","SYM.Other.Auth","NN","em",NA,"em",0,NA,"em",NA,NA,NA,"em",2
"262","en","FM","IN","en",NA,"en",0,NA,"en",NA,NA,NA,"en",2
"263","0","CARD","CD","0",NA,"0",0,NA,"0",NA,NA,NA,"0",2
"264","pi","FM","NN","pi",NA,"pi",0,NA,"pi",NA,NA,NA,"pi",2
"265","quorchid","FM","JJ","quorchid",NA,"quorchid",1,"quorchid",NA,NA,NA,NA,NA,2
"266","er","FM","NN","er",NA,"er",0,NA,"er",NA,NA,NA,"er",2
"267","eſs","FM","NNS","ess",NA,"ess",0,NA,"ess",NA,NA,NA,"ess",2
"268","ti","PRO.Pers.Subst.2.Acc.Sg.*","NN","ti",NA,"ti",0,NA,"ti",NA,NA,NA,"ti",2
"269","iu","FM","NN","iu",NA,"iu",1,"iu",NA,NA,NA,NA,NA,2
"270","vi","FM","NNS","vi",NA,"vi",1,"vi",NA,NA,"vi",NA,"vi",2
"271","double","VFIN.Full.3.Sg.Pres.Subj","VVP","double",NA,"double",0,NA,"double",NA,NA,NA,"double",2
"272","you","FM","PP","you",NA,"you",0,NA,"you",NA,NA,NA,"you",2
"273","]","SYM.Paren.Right","SYM","]",NA,"]",1,"]",NA,NA,NA,NA,NA,2
"274","dobl","FM","NN","dobl",NA,"dobl",1,"dobl",NA,NA,NA,NA,NA,2
"275","'","SYM.Quot.Right","POS","'",NA,"'",1,"'",NA,NA,NA,NA,NA,2
"276","yu","FM","NN","yu",NA,"yu",0,NA,"yu",NA,NA,NA,"yu",2
"277","doble","FM","NN","doble",NA,"doble",1,"doble",NA,NA,NA,NA,NA,2
"278","iouſ","FM","NN","ious",NA,"ious",0,NA,"ious",NA,NA,NA,"ious",2
